validador_diario_24hs,carr,carros_sales_force,territorio,empresa,modalidade,v,caixas_enviadas,caixas_retornadas,pct_caixas_retornadas,objetivo_de_retorno,situacao_dia,data,obs
BR0442252R46204,C470802,BR0442252,TV CURITIBA 1,BAT,Prompt,R,,,,0.0,,2026-07-01,
BR0442186R46204,C470924,BR0442186,TV CASCAVEL,BAT,Prompt,R,,,,0.0,,2026-07-01,
BR0442230R46204,C470907,BR0442230,TV CASCAVEL,BAT,Prompt,R,0.0,,,0.0,,2026-07-01,
BR0442231R46204,C470908,BR0442231,TV CASCAVEL,BAT,Prompt,R,0.0,,,0.0,,2026-07-01,
BR0442185R46204,C470923,BR0442185,TV CASCAVEL,BAT,Prompt,R,,0,,0.0,0.0,2026-07-01,
BR0442702R46204,C470803,BR0442702,TV CASCAVEL,BAT,Prompt,R,0.0,,,0.0,,2026-07-01,
BR0347315R46204,C470841,BR0347315,TV CURITIBA 2,BAT,Prompt,R,,,,0.0,,2026-07-01,
BR0347316R46204,C470842,BR0347316,TV CURITIBA 2,BAT,Prompt,R,,,,0.0,,2026-07-01,
BR0442236R46204,C470976,BR0442236,TV CURITIBA 2,BAT,Prompt,R,,,,0.0,,2026-07-01,
BR0442237R46204,C470980,BR0442237,TV CURITIBA 2,BAT,Prompt,R,,,,0.0,,2026-07-01,
BR0442243R46204,C470999,BR0442243,TV CURITIBA 2,BAT,Prompt,R,,0,,0.0,0.0,2026-07-01,
BR0442232R46204,C470909,BR0442232,TV CURITIBA 2,BAT,Prompt,R,,,,0.0,,2026-07-01,
BR0442240R46204,C470977,BR0442240,TV CURITIBA 2,BAT,Prompt,R,,,,0.0,,2026-07-01,
BR0442242R46204,C470958,BR0442242,TV CURITIBA 2,BAT,Prompt,R,0.0,,,0.0,,2026-07-01,
BR0442233R46204,C470910,BR0442233,TV CURITIBA 2,BAT,Prompt,R,0.0,,,0.0,,2026-07-01,
BR0442234R46204,C470915,BR0442234,TV CURITIBA 2,BAT,Prompt,R,0.0,,,0.0,,2026-07-01,
BR0442235R46204,C470920,BR0442235,TV CURITIBA 2,BAT,Prompt,R,,,,0.0,,2026-07-01,
BR0442245R46204,C470759,BR0442245,TV CURITIBA 2,BAT,Prompt,R,,,,0.0,,2026-07-01,
BR0442246R46204,C470760,BR0442246,TV CURITIBA 2,BAT,Prompt,R,0.0,,,0.0,,2026-07-01,
BR0075485R46205,C470741,BR0075485,TD Curitiba,FADEL,M1,R,17.0,0,0.0,11.899999999999999,-11.899999999999999,2026-07-02,
BR0075488R46205,C470038,BR0075488,TD Curitiba,FADEL,M1,R,23.0,,,16.099999999999998,,2026-07-02,
BR0075494R46205,C470024,BR0075494,TD Curitiba,FADEL,M1,R,23.0,,,16.099999999999998,,2026-07-02,
BR0075517R46205,C470831,BR0075517,TD Curitiba,FADEL,M1,R,12.0,,,8.399999999999999,,2026-07-02,
BR0075564R46205,C470740,BR0075564,TD Curitiba,FADEL,M1,R,41.0,11,0.2682926829268293,28.7,-17.7,2026-07-02,
BR0075595R46205,C470912,BR0075595,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-02,
BR0075598R46205,C470749,BR0075598,TD Curitiba,FADEL,M1,R,24.0,,,16.799999999999997,,2026-07-02,
BR0075727R46205,C470905,BR0075727,TD Curitiba,FADEL,M1,R,38.0,,,26.599999999999998,,2026-07-02,
BR0075816R46205,C470744,BR0075816,TD Curitiba,FADEL,M1A,R,,5,,0.0,5.0,2026-07-02,
BR0075950R46205,C470901,BR0075950,TD Curitiba,FADEL,M1A,R,22.0,6,0.2727272727272727,15.399999999999999,-9.399999999999999,2026-07-02,
BR0219554R46205,C470025,BR0219554,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-02,
BR0219562R46205,C470026,BR0219562,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-02,
BR0075813R46205,C470750,BR0075813,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-02,
BR0219544R46205,C470003,BR0219544,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-02,
BR0219545R46205,C470010,BR0219545,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-02,
BR0219549R46205,C470021,BR0219549,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-02,
BR0075703R46205,C470742,BR0075703,TD Curitiba,FADEL,M1,R,16.0,,,11.2,,2026-07-02,
BR0075865R46205,C470745,BR0075865,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-02,
BR0075849R46205,C470900,BR0075849,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-02,
BR0075512R46205,C470902,BR0075512,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-02,
BR0075841R46205,C470743,BR0075841,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-02,
BR0075785R46205,C470904,BR0075785,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-02,
BR0075542R46205,C470868,BR0075542,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-02,
BR0422998R46205,C470027,BR0422998,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-02,
BR0422999R46205,C470028,BR0422999,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-02,
BR0423000R46205,C470033,BR0423000,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-02,
BR0423001R46205,C470101,BR0423001,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-02,
BR0423002R46205,C470102,BR0423002,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-02,
BR0075882R46205,C470870,BR0075882,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-02,
BR0219552R46205,C470023,BR0219552,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-02,
BR0219546R46205,C470014,BR0219546,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-02,
BR0219599R46205,C470808,BR0219599,TD Curitiba,FADEL,M1,R,21.0,83,3.9523809523809526,14.7,68.3,2026-07-02,
BR0219600R46205,C470809,BR0219600,TD Curitiba,FADEL,M1,R,15.0,,,10.5,,2026-07-02,
BR0219601R46205,C470810,BR0219601,TD Curitiba,FADEL,M1,R,24.0,0,0.0,16.799999999999997,-16.799999999999997,2026-07-02,
BR0219603R46205,C470823,BR0219603,TD Curitiba,FADEL,M1,R,14.0,,,9.799999999999999,,2026-07-02,
BR0219605R46205,C470824,BR0219605,TD Curitiba,FADEL,M1,R,37.0,0,0.0,25.9,-25.9,2026-07-02,
BR0219606R46205,C470825,BR0219606,TD Curitiba,FADEL,M1,R,32.0,0,0.0,22.4,-22.4,2026-07-02,
BR0219609R46205,C470827,BR0219609,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-02,
BR0219610R46205,C470828,BR0219610,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-02,
BR0075562R46205,C470022,BR0075562,TD Curitiba,FADEL,M1,R,11.0,,,7.699999999999999,,2026-07-02,
BR0075684R46205,C470739,BR0075684,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-02,
BR0075652R46205,C470751,BR0075652,TD Curitiba,FADEL,M1,R,10.0,,,7.0,,2026-07-02,
BR0219608R46205,C470826,BR0219608,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-02,
BR0075807R46205,C470747,BR0075807,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-02,
BR0075798R46205,C470748,BR0075798,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-02,
BR0075774R46205,C470752,BR0075774,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-02,
BR0075712R46205,C470844,BR0075712,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-02,
BR0075595R46205,C470912,BR0075595,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-02,
BR0075783R46205,C470867,BR0075783,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-02,
BR0075507R46205,C470866,BR0075507,TD Curitiba,FADEL,Grocery,R,,0,,0.0,0.0,2026-07-02,
BR0075522R46205,C470906,BR0075522,TD Curitiba,FADEL,Grocery,R,65.0,,,45.5,,2026-07-02,
BR0075549R46205,C470911,BR0075549,TD Curitiba,FADEL,Grocery,R,11.0,200,18.181818181818183,7.699999999999999,192.3,2026-07-02,
BR0075781R46205,C470903,BR0075781,TD Curitiba,FADEL,Grocery,R,21.0,,,14.7,,2026-07-02,
BR0075802R46205,C470746,BR0075802,TD Curitiba,FADEL,Grocery,R,15.0,0,0.0,10.5,-10.5,2026-07-02,
BR0442251R46205,C470801,BR0442251,TV CURITIBA 1,BAT,Prompt,R,,,,0.0,,2026-07-02,
BR0442252R46205,C470802,BR0442252,TV CURITIBA 1,BAT,Prompt,R,,,,0.0,,2026-07-02,
BR0442186R46205,C470924,BR0442186,TV CASCAVEL,BAT,Prompt,R,0.0,,,0.0,,2026-07-02,
BR0442230R46205,C470907,BR0442230,TV CASCAVEL,BAT,Prompt,R,,,,0.0,,2026-07-02,
BR0442231R46205,C470908,BR0442231,TV CASCAVEL,BAT,Prompt,R,0.0,,,0.0,,2026-07-02,
BR0442185R46205,C470923,BR0442185,TV CASCAVEL,BAT,Prompt,R,0.0,,,0.0,,2026-07-02,
BR0442702R46205,C470803,BR0442702,TV CASCAVEL,BAT,Prompt,R,0.0,,,0.0,,2026-07-02,
BR0347315R46205,C470841,BR0347315,TV CURITIBA 2,BAT,Prompt,R,,,,0.0,,2026-07-02,
BR0347316R46205,C470842,BR0347316,TV CURITIBA 2,BAT,Prompt,R,,,,0.0,,2026-07-02,
BR0442236R46205,C470976,BR0442236,TV CURITIBA 2,BAT,Prompt,R,0.0,,,0.0,,2026-07-02,
BR0442237R46205,C470980,BR0442237,TV CURITIBA 2,BAT,Prompt,R,,,,0.0,,2026-07-02,
BR0442243R46205,C470999,BR0442243,TV CURITIBA 2,BAT,Prompt,R,,,,0.0,,2026-07-02,
BR0442232R46205,C470909,BR0442232,TV CURITIBA 2,BAT,Prompt,R,0.0,,,0.0,,2026-07-02,
BR0442240R46205,C470977,BR0442240,TV CURITIBA 2,BAT,Prompt,R,0.0,,,0.0,,2026-07-02,
BR0442242R46205,C470958,BR0442242,TV CURITIBA 2,BAT,Prompt,R,,0,,0.0,0.0,2026-07-02,
BR0442233R46205,C470910,BR0442233,TV CURITIBA 2,BAT,Prompt,R,0.0,,,0.0,,2026-07-02,
BR0442234R46205,C470915,BR0442234,TV CURITIBA 2,BAT,Prompt,R,0.0,,,0.0,,2026-07-02,
BR0442235R46205,C470920,BR0442235,TV CURITIBA 2,BAT,Prompt,R,,,,0.0,,2026-07-02,
BR0442245R46205,C470759,BR0442245,TV CURITIBA 2,BAT,Prompt,R,,,,0.0,,2026-07-02,
BR0442246R46205,C470760,BR0442246,TV CURITIBA 2,BAT,Prompt,R,0.0,,,0.0,,2026-07-02,
BR0075485R46206,C470741,BR0075485,TD Curitiba,FADEL,M1,R,29.0,0,0.0,20.299999999999997,-20.299999999999997,2026-07-03,
BR0075488R46206,C470038,BR0075488,TD Curitiba,FADEL,M1,R,38.0,0,0.0,26.599999999999998,-26.599999999999998,2026-07-03,
BR0075494R46206,C470024,BR0075494,TD Curitiba,FADEL,M1,R,19.0,0,0.0,13.299999999999999,-13.299999999999999,2026-07-03,
BR0075517R46206,C470831,BR0075517,TD Curitiba,FADEL,M1,R,9.0,5,0.5555555555555556,6.3,-1.2999999999999998,2026-07-03,
BR0075564R46206,C470740,BR0075564,TD Curitiba,FADEL,M1,R,11.0,26,2.3636363636363638,7.699999999999999,18.3,2026-07-03,
BR0075595R46206,C470912,BR0075595,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-03,
BR0075598R46206,C470749,BR0075598,TD Curitiba,FADEL,M1,R,20.0,3,0.15,14.0,-11.0,2026-07-03,
BR0075727R46206,C470905,BR0075727,TD Curitiba,FADEL,M1,R,37.0,0,0.0,25.9,-25.9,2026-07-03,
BR0075816R46206,C470744,BR0075816,TD Curitiba,FADEL,M1A,R,,,,0.0,,2026-07-03,
BR0075950R46206,C470901,BR0075950,TD Curitiba,FADEL,M1A,R,11.0,1,0.09090909090909091,7.699999999999999,-6.699999999999999,2026-07-03,
BR0219554R46206,C470025,BR0219554,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-03,
BR0219562R46206,C470026,BR0219562,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-03,
BR0075813R46206,C470750,BR0075813,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-03,
BR0219544R46206,C470003,BR0219544,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-03,
BR0219545R46206,C470010,BR0219545,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-03,
BR0219549R46206,C470021,BR0219549,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-03,
BR0075703R46206,C470742,BR0075703,TD Curitiba,FADEL,M1,R,,0,,0.0,0.0,2026-07-03,
BR0075865R46206,C470745,BR0075865,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-03,
BR0075849R46206,C470900,BR0075849,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-03,
BR0075512R46206,C470902,BR0075512,TD Curitiba,FADEL,M1,R,,0,,0.0,0.0,2026-07-03,
BR0075841R46206,C470743,BR0075841,TD Curitiba,FADEL,M1,R,,0,,0.0,0.0,2026-07-03,
BR0075785R46206,C470904,BR0075785,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-03,
BR0075542R46206,C470868,BR0075542,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-03,
BR0422998R46206,C470027,BR0422998,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-03,
BR0422999R46206,C470028,BR0422999,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-03,
BR0423000R46206,C470033,BR0423000,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-03,
BR0423001R46206,C470101,BR0423001,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-03,
BR0423002R46206,C470102,BR0423002,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-03,
BR0075882R46206,C470870,BR0075882,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-03,
BR0219552R46206,C470023,BR0219552,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-03,
BR0219546R46206,C470014,BR0219546,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-03,
BR0219599R46206,C470808,BR0219599,TD Curitiba,FADEL,M1,R,,0,,0.0,0.0,2026-07-03,
BR0219600R46206,C470809,BR0219600,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-03,
BR0219601R46206,C470810,BR0219601,TD Curitiba,FADEL,M1,R,38.0,5,0.13157894736842105,26.599999999999998,-21.599999999999998,2026-07-03,
BR0219603R46206,C470823,BR0219603,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-03,
BR0219605R46206,C470824,BR0219605,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-03,
BR0219606R46206,C470825,BR0219606,TD Curitiba,FADEL,M1,R,10.0,,,7.0,,2026-07-03,
BR0219609R46206,C470827,BR0219609,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-03,
BR0219610R46206,C470828,BR0219610,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-03,
BR0075562R46206,C470022,BR0075562,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-03,
BR0075684R46206,C470739,BR0075684,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-03,
BR0075652R46206,C470751,BR0075652,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-03,
BR0219608R46206,C470826,BR0219608,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-03,
BR0075807R46206,C470747,BR0075807,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-03,
BR0075798R46206,C470748,BR0075798,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-03,
BR0075774R46206,C470752,BR0075774,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-03,
BR0075712R46206,C470844,BR0075712,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-03,
BR0075595R46206,C470912,BR0075595,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-03,
BR0075783R46206,C470867,BR0075783,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-03,
BR0075507R46206,C470866,BR0075507,TD Curitiba,FADEL,Grocery,R,,0,,0.0,0.0,2026-07-03,
BR0075522R46206,C470906,BR0075522,TD Curitiba,FADEL,Grocery,R,94.0,,,65.8,,2026-07-03,
BR0075549R46206,C470911,BR0075549,TD Curitiba,FADEL,Grocery,R,,,,0.0,,2026-07-03,
BR0075781R46206,C470903,BR0075781,TD Curitiba,FADEL,Grocery,R,77.0,0,0.0,53.9,-53.9,2026-07-03,
BR0075802R46206,C470746,BR0075802,TD Curitiba,FADEL,Grocery,R,,,,0.0,,2026-07-03,
BR0442251R46206,C470801,BR0442251,TV CURITIBA 1,BAT,Prompt,R,,,,0.0,,2026-07-03,
BR0442252R46206,C470802,BR0442252,TV CURITIBA 1,BAT,Prompt,R,,,,0.0,,2026-07-03,
BR0442186R46206,C470924,BR0442186,TV CASCAVEL,BAT,Prompt,R,0.0,,,0.0,,2026-07-03,
BR0442230R46206,C470907,BR0442230,TV CASCAVEL,BAT,Prompt,R,,,,0.0,,2026-07-03,
BR0442231R46206,C470908,BR0442231,TV CASCAVEL,BAT,Prompt,R,0.0,,,0.0,,2026-07-03,
BR0442185R46206,C470923,BR0442185,TV CASCAVEL,BAT,Prompt,R,0.0,,,0.0,,2026-07-03,
BR0442702R46206,C470803,BR0442702,TV CASCAVEL,BAT,Prompt,R,,,,0.0,,2026-07-03,
BR0347315R46206,C470841,BR0347315,TV CURITIBA 2,BAT,Prompt,R,,,,0.0,,2026-07-03,
BR0347316R46206,C470842,BR0347316,TV CURITIBA 2,BAT,Prompt,R,,,,0.0,,2026-07-03,
BR0442236R46206,C470976,BR0442236,TV CURITIBA 2,BAT,Prompt,R,,,,0.0,,2026-07-03,
BR0442237R46206,C470980,BR0442237,TV CURITIBA 2,BAT,Prompt,R,,,,0.0,,2026-07-03,
BR0442243R46206,C470999,BR0442243,TV CURITIBA 2,BAT,Prompt,R,,,,0.0,,2026-07-03,
BR0442232R46206,C470909,BR0442232,TV CURITIBA 2,BAT,Prompt,R,,0,,0.0,0.0,2026-07-03,
BR0442240R46206,C470977,BR0442240,TV CURITIBA 2,BAT,Prompt,R,,,,0.0,,2026-07-03,
BR0442242R46206,C470958,BR0442242,TV CURITIBA 2,BAT,Prompt,R,,,,0.0,,2026-07-03,
BR0442233R46206,C470910,BR0442233,TV CURITIBA 2,BAT,Prompt,R,0.0,,,0.0,,2026-07-03,
BR0442234R46206,C470915,BR0442234,TV CURITIBA 2,BAT,Prompt,R,0.0,,,0.0,,2026-07-03,
BR0442235R46206,C470920,BR0442235,TV CURITIBA 2,BAT,Prompt,R,0.0,,,0.0,,2026-07-03,
BR0442245R46206,C470759,BR0442245,TV CURITIBA 2,BAT,Prompt,R,,,,0.0,,2026-07-03,
BR0442246R46206,C470760,BR0442246,TV CURITIBA 2,BAT,Prompt,R,0.0,,,0.0,,2026-07-03,
BR0075485R46209,C470741,BR0075485,TD Curitiba,FADEL,M1,R,37.0,28,0.7567567567567568,25.9,2.1000000000000014,2026-07-06,
BR0075488R46209,C470038,BR0075488,TD Curitiba,FADEL,M1,R,37.0,0,0.0,25.9,-25.9,2026-07-06,
BR0075494R46209,C470024,BR0075494,TD Curitiba,FADEL,M1,R,54.0,0,0.0,37.8,-37.8,2026-07-06,
BR0075517R46209,C470831,BR0075517,TD Curitiba,FADEL,M1,R,27.0,,,18.9,,2026-07-06,
BR0075564R46209,C470740,BR0075564,TD Curitiba,FADEL,M1,R,16.0,0,0.0,11.2,-11.2,2026-07-06,
BR0075595R46209,C470912,BR0075595,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-06,
BR0075598R46209,C470749,BR0075598,TD Curitiba,FADEL,M1,R,13.0,0,0.0,9.1,-9.1,2026-07-06,
BR0075727R46209,C470905,BR0075727,TD Curitiba,FADEL,M1,R,32.0,0,0.0,22.4,-22.4,2026-07-06,
BR0075816R46209,C470744,BR0075816,TD Curitiba,FADEL,M1A,R,,,,0.0,,2026-07-06,
BR0075950R46209,C470901,BR0075950,TD Curitiba,FADEL,M1A,R,30.0,0,0.0,21.0,-21.0,2026-07-06,
BR0219554R46209,C470025,BR0219554,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-06,
BR0219562R46209,C470026,BR0219562,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-06,
BR0075813R46209,C470750,BR0075813,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-06,
BR0219544R46209,C470003,BR0219544,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-06,
BR0219545R46209,C470010,BR0219545,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-06,
BR0219549R46209,C470021,BR0219549,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-06,
BR0075703R46209,C470742,BR0075703,TD Curitiba,FADEL,M1,R,,,,0.0,,2026-07-06,
BR0075865R46209,C470745,BR0075865,TD Curitiba,FADEL,M1,R,23.0,21,0.9130434782608695,16.099999999999998,4.900000000000002,2026-07-06,
